 আওয়ামী মোবাইল - সেরা দামে ফালতু ফোন | মি আওয়ামী | ১৭ বছরের গ্যারান্টি
 ভণ্ড চার্জার - ১০০% স্লো চার্জের গ্যারান্টি | ভণ্ড | গ্যারান্টি নাই
 ফাঁকি ফ্যান - হাওয়া ছাড়া শুধুই বিকট শব্দ | ফাঁকি | ৫০ বছরের ওয়ারেন্টি
 ভুয়া পাওয়ার ব্যাংক - ২ পার্সেন্টে চার্জ শেষ | ফেক পাওয়ার | জিরো ওয়ারেন্টি
 পলাইম সিম - নেটওয়ার্ক ছাড়া ফালতু স্পিড | পলাইম | লাইফটাইম ধোঁকা
 ফাঁকা বাল্ব - আলো দেবে না শুধুই বিল তুলবে | ফাঁকা | ১০০ বছরের ওয়ারেন্টি
 ঠকবাজ এসি - গরম বাতাসে ঘর ভরিয়ে দেয় | ঠকবাজ | কোনো গ্যারান্টি নেই
 ধান্দাবাজ বাইক - তেল খাবে বেশি চলবে কম | ধান্দা | ৫ মিনিটের ওয়ারেন্টি
 হাসিনা এয়ারলাইন্স - উড়াল দেবে ভারতে ল্যান্ডিংয়ের ঠিকানা নাই | পালিয়ে এন্টারপ্রাইজ | ১৭ বছরের ধোঁকা
 জনি সিং পাওয়ার ব্যাংক - এক মিনিটেই ফুল ডিসচার্জ পারফরম্যান্স জিরো | জনি টেক | নো গ্যারান্টি
 হিরো আলম সাউন্ডবার - মিউজিক বাজলে কান ফেটে রক্ত আসবে | হিরো স্পিকার | লাইফটাইম ট্রমা
 মিয়া খলিফা লেন্স - সবকিছু ঝাপসা আর ব্লার দেখাবে | খলিফা ভিশন | জিরো ওয়ারেন্টি
 কাদের ডিজিটাল বাইপাস - সড়ক ফাঁকা কিন্তু গাড়ি চলবে না | ওবায়দুল রোডস | গ্যারান্টি নাই
 মামুনুল বিয়ের প্যান্ডেল - চুক্তি হবে কিন্তু স্থায়িত্ব এক রাতের | চুক্তি ফ্যাব্রিকস | ৫ মিনিটের ওয়ারেন্টি
 পলাইম হেলিকপ্টার - টেক-অফ করবে কিন্তু আর কখনো ফিরবে না | বর্ডার এয়ার | পালি গোল্ডেন ওয়ারেন্টি
 ভণ্ড ইউটিউবার মাইক - কথা হবে চিল্লাচিল্লি কনটেন্টে শূন্য তথ্য | ভণ্ড ভয়েস | ৫০ বছরের ফেক ওয়ারেন্টি
 ঠকবাজ ওয়াইফাই Router - সিগন্যাল ফুল কিন্তু স্পিড জিরো | ঠকবাজ নেট | লাইফটাইম স্লো
 ধান্দাবাজ ড্রিংকস - পিপাসা মিটবে না পেট খারাপের ১০০% নিশ্চয়তা | ধান্দা জুস | মাইনাস ওয়ারেন্টি
 ফাঁকি ওয়াটার হিটার - পানি গরম হবে না কারেন্টের বিল উঠবে ডাবল | ফাঁকা এনার্জি | জিরো সার্ভিস
 ভুয়া গেমিং চেয়ার - বসলেই ভাঙবে কোমর ব্যথার প্রিমিয়াম গ্যারান্টি | ফেক সিট | ১ সেকেন্ডের ওয়ারেন্টি
 পাপিয়া বাইক – ১০০% স্লো চার্জের গ্যারান্টি | ধান্দা ডিসপ্লে | ৫ মিনিটের ওয়ারেন্টি
